ObjectId,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_
4845,2019/03/14 00:04:51+00,10.67,7.94,6.45,5.88,6.48,7.73,10.93,65,31,1011.9,Chapel Hill Public Library,outside,35.932522,-79.035728,830
4846,2019/03/14 01:04:10+00,11.72,12.07,10.51,8.81,7.04,7.84,10.93,63,34,1011.77,Chapel Hill Public Library,outside,35.932522,-79.035728,671
4847,2019/03/14 02:04:10+00,8.89,10.01,10.06,9.43,7.39,7.91,10.93,59,40,1011.98,Chapel Hill Public Library,outside,35.932522,-79.035728,4271
4848,2019/03/14 03:04:10+00,11.42,11.75,11.41,10.66,7.9,8.02,10.93,59,40,1012.07,Chapel Hill Public Library,outside,35.932522,-79.035728,7871
4849,2019/03/14 04:04:54+00,23.48,20.69,16.89,14.42,9,8.31,10.96,60,41,1012.08,Chapel Hill Public Library,outside,35.932522,-79.035728,1390
4850,2019/03/14 05:04:54+00,29.48,29.06,25.76,21.58,11.19,8.9,11.03,60,46,1011.98,Chapel Hill Public Library,outside,35.932522,-79.035728,4990
4851,2019/03/14 06:04:54+00,29.52,30.27,29.25,26.15,13.42,9.55,11.12,60,47,1012.16,Chapel Hill Public Library,outside,35.932522,-79.035728,8590
4852,2019/03/14 07:04:54+00,32.38,32.44,31.68,29.39,15.63,10.25,11.21,59,49,1011.93,Chapel Hill Public Library,outside,35.932522,-79.035728,12190
4853,2019/03/14 08:04:54+00,32.5,32.76,32.36,31.03,17.6,10.93,11.31,58,51,1011.37,Chapel Hill Public Library,outside,35.932522,-79.035728,15790
4854,2019/03/14 09:04:54+00,32.91,32.67,32.59,31.89,19.37,11.6,11.4,60,51,1010.91,Chapel Hill Public Library,outside,35.932522,-79.035728,19390
4855,2019/03/14 10:04:54+00,32.85,32.89,32.67,32.29,20.93,12.25,11.49,59,51,1010.88,Chapel Hill Public Library,outside,35.932522,-79.035728,22990
4856,2019/03/14 11:04:54+00,32.89,32.47,32.56,32.42,22.3,12.87,11.59,58,52,1010.54,Chapel Hill Public Library,outside,35.932522,-79.035728,26590
